label	[a1,a2,a3,a4,a6]	ord_p(N) for p in [2,3,5,7]
470400.di2	[0,-1,0,-173133,46451637]	7 1 2 2
470400.dj1	[0,-1,0,-6817533,-6078685563]	7 1 2 2
470400.dj2	[0,-1,0,624342,-489837438]	7 1 2 2
470400.dk1	[0,-1,0,-154758,-3546738]	7 1 2 2
470400.dk2	[0,-1,0,610867,-28812363]	7 1 2 2
470400.dl1	[0,-1,0,-4082633,3176470137]	7 1 2 2
470400.dl2	[0,-1,0,-255383,49606887]	7 1 2 2
470400.dm1	[0,-1,0,-15353,619977]	7 1 2 2
470400.dm2	[0,-1,0,1797,54027]	7 1 2 2
470400.dn1	[0,-1,0,-263783,50883687]	7 1 2 2
470400.dn2	[0,-1,0,66967,169622937]	7 1 2 2
470400.do1	[0,-1,0,-350143383,-2521720210113]	7 1 2 2
470400.do2	[0,-1,0,-350106633,-2522276053863]	7 1 2 2
470400.dp1	[0,-1,0,-95958,9639162]	7 1 2 2
470400.dp2	[0,-1,0,179667,54566037]	7 1 2 2
470400.dq1	[0,-1,0,-114333,-13935963]	7 1 2 2
470400.dq2	[0,-1,0,-22458,1039662]	7 1 2 2
470400.dr1	[0,-1,0,-3593,67257]	7 1 2 2
470400.dr2	[0,-1,0,-1143,-13593]	7 1 2 2
470400.ds1	[0,-1,0,-859133,-305466363]	7 1 2 2
470400.ds2	[0,-1,0,-32258,-8618238]	7 1 2 2
470400.dt1	[0,-1,0,-66671033,-209511471063]	7 1 2 2
470400.dt2	[0,-1,0,-4159283,-3285207813]	7 1 2 2
470400.du1	[0,-1,0,-11433,-2308263]	7 1 2 2
470400.dv1	[0,-1,0,-2858,289962]	7 1 2 2
470400.dw1	[0,-1,0,-23146783,42870856687]	7 1 2 2
470400.dw2	[0,-1,0,-23061033,43204166937]	7 1 2 2
470400.dx1	[0,-1,0,-1501033,687846937]	7 1 2 2
470400.dx2	[0,-1,0,30217,37065687]	7 1 2 2
470400.dy1	[0,-1,0,-234383,-33847113]	7 1 2 2
470400.dy2	[0,-1,0,537367,-210577863]	7 1 2 2
470400.dz1	[0,-1,0,-1363833,-305069463]	7 1 2 2
470400.dz2	[0,-1,0,289917,-35508213]	7 1 2 2
470400.ea1	[0,-1,0,-5833,4537]	7 1 2 2
470400.eb1	[0,-1,0,-11433,-3303]	7 1 2 2
470400.ec1	[0,-1,0,-310333,-34907963]	7 1 2 2
470400.ec2	[0,-1,0,-267458,-53129838]	7 1 2 2
470400.ed1	[0,-1,0,-344633,77836137]	7 1 2 2
470400.ed2	[0,-1,0,-13883,2094387]	7 1 2 2
470400.ee1	[0,-1,0,-1716633,818716137]	7 1 2 2
470400.ee2	[0,-1,0,84117,53397387]	7 1 2 2
470400.ef1	[0,-1,0,-3636383,2670175887]	7 1 2 2
470400.ef2	[0,-1,0,-3494633,2887762137]	7 1 2 2
470400.eg1	[0,-1,0,-46958,3906162]	7 1 2 2
470400.eg2	[0,-1,0,-16333,8898037]	7 1 2 2
470400.eh1	[0,-1,0,-864278,309551502]	7 1 2 2
470400.eh2	[0,-1,0,-863053,310471477]	7 1 2 2
470400.ei1	[0,-1,0,2042,-146138]	7 1 2 2
470400.ej1	[0,-1,0,-6655833,6611574537]	7 1 2 2
470400.ek1	[0,-1,0,-2270333,1316708037]	7 1 2 2
470400.ek2	[0,-1,0,-169458,12064662]	7 1 2 2
470400.el1	[0,-1,0,-677833,-95839463]	7 1 2 2
470400.el2	[0,-1,0,-567583,-164304713]	7 1 2 2
470400.em1	[0,-1,0,-2971033,1938228937]	7 1 2 2
470400.em2	[0,-1,0,5717,89667187]	7 1 2 2
470400.en1	[0,-1,0,-742758,-241907238]	7 1 2 2
470400.en2	[0,-1,0,22867,-717360363]	7 1 2 2
470400.eo1	[0,-1,0,8167,1160937]	7 1 2 2
470400.ep1	[0,-1,0,-1663958,-825614838]	7 1 2 2
470400.eq1	[0,-1,0,-14545533,-21346861563]	7 1 2 2
470400.eq2	[0,-1,0,-873658,-360533438]	7 1 2 2
470400.er1	[0,-1,0,-187833,-31061463]	7 1 2 2
470400.er2	[0,-1,0,-4083,-1110213]	7 1 2 2
470400.es1	[0,-1,0,-3457113,-2472954903]	7 1 2 2
470400.es2	[0,-1,0,-215763,-38701053]	7 1 2 2
470400.et1	[0,-1,0,-1069833,426108537]	7 1 2 2
470400.et2	[0,-1,0,-77583,4402287]	7 1 2 2
470400.eu1	[0,-1,0,-86158,-9686438]	7 1 2 2
470400.eu2	[0,-1,0,-55533,-16699563]	7 1 2 2
470400.ev1	[0,-1,0,-429158,-102124938]	7 1 2 2
470400.ev2	[0,-1,0,336467,-427515563]	7 1 2 2
470400.ew1	[0,-1,0,-92587133,-342874266363]	7 1 2 2
470400.ew2	[0,-1,0,-5765258,-5397638238]	7 1 2 2
470400.ex1	[0,-1,0,-375258,-85793238]	7 1 2 2
470400.ex2	[0,-1,0,120867,-296646363]	7 1 2 2
470400.ey1	[0,-1,0,-937533,271714437]	7 1 2 2
470400.ey2	[0,-1,0,134342,26255062]	7 1 2 2
470400.ez1	[0,-1,0,-340958,38304162]	7 1 2 2
470400.ez2	[0,-1,0,1159667,282906037]	7 1 2 2
470400.fa1	[0,-1,0,-1458,162]	7 1 2 2
470400.fb1	[0,-1,0,-2858,1842]	7 1 2 2
470400.fc1	[0,-1,0,-93719033,351692192937]	7 1 2 2
470400.fd1	[0,-1,0,-560233,215565337]	7 1 2 2
470400.fe1	[0,-1,0,-96658,-11534438]	7 1 2 2
470400.ff1	[0,-1,0,-386633,92662137]	7 1 2 2
470400.fg1	[0,-1,0,-140058,-26875638]	7 1 2 2
470400.fh1	[0,-1,0,-23429758,-43949809238]	7 1 2 2
470400.fi1	[0,-1,0,-2152733,-1207811163]	7 1 2 2
470400.fi2	[0,-1,0,-51858,-41825538]	7 1 2 2
470400.fj1	[0,-1,0,-4107833,3205878537]	7 1 2 2
470400.fj2	[0,-1,0,-249083,53279787]	7 1 2 2
470400.fk1	[0,-1,0,-2163758,-348335238]	7 1 2 2
470400.fk2	[0,-1,0,8254867,-2734200363]	7 1 2 2
470400.fl1	[0,-1,0,-2333,8037]	7 1 2 2
470400.fl2	[0,-1,0,-1458,-20838]	7 1 2 2
470400.fm1	[0,-1,0,-3421833,2405316537]	7 1 2 2
470400.fm2	[0,-1,0,-420583,-46704713]	7 1 2 2
470400.fn1	[0,-1,0,-173133,-27636363]	7 1 2 2
470400.fn2	[0,-1,0,-7758,-680238]	7 1 2 2
470400.fo1	[0,-1,0,-7954333,-8632055963]	7 1 2 2
470400.fo2	[0,-1,0,-512458,-125992838]	7 1 2 2
470400.fp1	[0,-1,0,-6275593,6053135257]	7 1 2 2
470400.fp2	[0,-1,0,-393143,94213407]	7 1 2 2
470400.fq1	[0,-1,0,-89481758,-325542396738]	7 1 2 2
470400.fq2	[0,-1,0,-70341133,-468733412363]	7 1 2 2
470400.fr1	[0,-1,0,-75133,3429637]	7 1 2 2
470400.fr2	[0,-1,0,16742,397762]	7 1 2 2
470400.fs1	[0,-1,0,-105758,-12881238]	7 1 2 2
470400.fs2	[0,-1,0,22867,-42336363]	7 1 2 2
470400.ft1	[0,-1,0,-423033,103472937]	7 1 2 2
